parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1921442
analysis_id,8kq263od4297k9v
gene_symbol,Arpc5l
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
pvalue,0.4657289
