parameter_name,Edema
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:1328306
gene_symbol,Orc2
analysis_id,4b1y78rc8683c2c
pvalue,0.4821678
mouse_strain,C57BL
mouse_life_stage,E9.5
