analysis_id,2950j2998mf59vi
parameter_name,Total cholesterol
pvalue,0.4709169
gene_accession_id,MGI:1913838
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
gene_symbol,Cmpk1
mouse_life_stage,Early adult
