analysis_id,0mi9g3f7iy8ic8d
gene_symbol,Mapkap1
pvalue,0.9825534
gene_accession_id,MGI:2444554
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,White blood cell-count
