analysis_id,7ba4ooju0zt8vue
pvalue,0.2009512
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:1914309
parameter_name,Iron
gene_symbol,Ola1
mouse_life_stage,E18.5
mouse_strain,C57BL
