analysis_id,ku46hw4o3w3zcti
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
pvalue,0.8115057
gene_symbol,Golm2
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
parameter_name,Total CD4+ T cells - % of CD45+
