gene_symbol,Nr0b2
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:1346344
parameter_id,MGP_PBI_011_001
mouse_life_stage,Early adult
mouse_strain,B6J
analysis_id,974spita58913yg
pvalue,0.2933632
