analysis_id,vv5jjn84wyv07e6
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
gene_symbol,Lime1
gene_accession_id,MGI:1919949
pvalue,0.06182741
parameter_name,BMC/Body weight
mouse_strain,C57BL
