gene_symbol,Fpgs
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1cm7u503wopbqm2
parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:95576
parameter_name,Resting Treg cells - % of Treg
pvalue,0.8451088
