gene_symbol,Trdmt1
analysis_id,t2ikq56y4c023w8
mouse_life_stage,Early adult
parameter_name,lens
mouse_strain,C57BL
pvalue,0.2883459
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1274787
