parameter_name,lens
pvalue,0.5250655
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,M-G-P_014_001_009
analysis_id,9cqp645kn59xug0
mouse_life_stage,Early adult
mouse_strain,C57BL
