gene_symbol,Frmpd1
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
analysis_id,4i791932o7xl1kq
pvalue,0.2017077
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
