gene_symbol,Casq1
pvalue,0.5609728
parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
parameter_id,IMPC_EYE_092_001
analysis_id,i851m06t8r9crs2
