parameter_name,Mean platelet volume
analysis_id,bhio51156396l19
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
gene_symbol,Trp53i11
pvalue,1.332931
mouse_strain,C57BL
