analysis_id,28nj5627k6366t3
mouse_life_stage,Late adult
parameter_name,Body Weight
pvalue,0.6299314
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
