parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.3088977
analysis_id,asb3l2kd1sa6707
