gene_symbol,Inpp1
pvalue,0.3221204
analysis_id,jy12sui760o5uh6
parameter_id,MGP_PBI_002_001
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:104848
