analysis_id,048o2d732h05z87
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,MGP_PBI_015_001
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_name,IgD+ mature B cell percentage
pvalue,0.1145735
