analysis_id,n8kz474j236ujrq
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc28a2
pvalue,0.6071612
gene_accession_id,MGI:1913105
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
