gene_symbol,Trp53i11
parameter_name,Sacral processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
pvalue,0.5891892
analysis_id,hgg694140z9p4g4
gene_accession_id,MGI:2670995
