analysis_id,8703ho7t67o2892
pvalue,0.3148059
mouse_life_stage,Early adult
parameter_id,MGP_MLN_011_001
mouse_strain,C57BL
gene_symbol,Dnajc6
parameter_name,KLRG1+ Treg cells - % of Treg
gene_accession_id,MGI:1919935
