analysis_id,9s4y83w76c4wvp4
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.7925099
mouse_life_stage,Early adult
mouse_strain,C57BL
