analysis_id,30722n37q01v2f3
parameter_id,IMPC_HEM_006_001
pvalue,0.5121185
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:106100
mouse_strain,C57BL
