parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
parameter_name,Tibia length
analysis_id,0r1vyb6z89eki90
pvalue,0.5040311
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
