parameter_name,Right total retinal thickness
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_id,IMPC_EYE_062_001
gene_symbol,Slc30a4
analysis_id,335r24l1p9nu159
pvalue,0.5913241
mouse_strain,C57BL
