parameter_name,Vocalization
gene_accession_id,MGI:1913483
analysis_id,54qwxs82e0x80i5
pvalue,0.3558888
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
gene_symbol,Dmap1
