parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1916222
pvalue,0.62074
mouse_strain,C57BL
gene_symbol,Tatdn3
analysis_id,n43v03iu3fjdk4a
mouse_life_stage,Early adult
