gene_symbol,Fsd1l
mouse_strain,C55BL
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
pvalue,0.8034878
gene_accession_id,MGI:2442443
analysis_id,88i2r342dor17kn
mouse_life_stage,Early adult
