gene_symbol,Col11a1
pvalue,0.2212467
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
analysis_id,h05c1f3i242v07x
gene_accession_id,MGI:88446
mouse_life_stage,Early adult
