parameter_name,Embryo Size
mouse_life_stage,E15.5
mouse_strain,C57BL
analysis_id,5g29wx0k24x72k1
pvalue,0.3530016
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,IMPC_GEO_019_001
