gene_symbol,Atrn
analysis_id,990a09cz276p1s0
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
pvalue,0.3604416
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1341628
