mouse_strain,C3H
mouse_life_stage,Early adult
analysis_id,o972bq3mu3qn5ul
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Dark side time spent
pvalue,0.7092281
parameter_id,JAX_LDT_004_001
