analysis_id,eait73k2n271a8l
pvalue,0.3696829
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
