parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
analysis_id,sk8017d7e3qc7x1
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1924360
pvalue,0.4540566
