gene_symbol,Atrn
mouse_life_stage,Early adult
analysis_id,r0600227p1vrwz2
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:1341628
parameter_name,Glucose
pvalue,0.4205219
