analysis_id,9j2c725f58a9148
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
pvalue,0.2683087
gene_accession_id,MGI:1922855
mouse_strain,C57BL
gene_symbol,Kdm5b
