parameter_name,Hematocrit
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
analysis_id,d4u6h9z3j915u78
mouse_strain,C52BL
parameter_id,IMPC_HEM_004_001
pvalue,0.685062
gene_symbol,Wars2
