parameter_id,IMPC_GPO_002_001
pvalue,0.7330844
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_name,Placenta Morphology
analysis_id,qt537rpouk4sa71
mouse_strain,C57BL
