analysis_id,fcc0e135361tu61
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
parameter_id,ESLIM_011_001_702
parameter_name,Prepulse inhibition - PP2
pvalue,0.8446643
mouse_strain,C57BL
