parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
analysis_id,kd172u0236ud628
mouse_strain,C57BL
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
pvalue,0.1353003
