parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_symbol,Nemp2
parameter_id,IMPC_CBC_015_001
pvalue,0.7640091
analysis_id,61dqujx1218t4jk
mouse_strain,C57BL
gene_accession_id,MGI:2444113
