analysis_id,q13shz5i421v29o
parameter_id,IMPC_GEL_063_001
gene_symbol,Cds2
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_name,Delayed embryonic development
pvalue,0.7288332
mouse_strain,C57BL
