gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
pvalue,0.8812438
parameter_name,Narrow eye opening
analysis_id,8r1z30w7tv5a9v2
