gene_symbol,Mgst2
analysis_id,x34iwk82l6xv190
pvalue,0.5390966
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
