analysis_id,46s0486877xjnvl
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
gene_symbol,Zmynd19
pvalue,0.7504742
mouse_strain,C57BL
