gene_symbol,Lpgat1
pvalue,0.948035
analysis_id,0of2z08bc1s6827
gene_accession_id,MGI:2446186
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
mouse_life_stage,E18.5
