parameter_name,Anophthalmia
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
analysis_id,js4z070tg2nu9l0
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.298889
