parameter_id,HMGULA_CBC_003_001
gene_symbol,Rgs20
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
pvalue,0.103047
parameter_name,Chloride
mouse_strain,C57BL
analysis_id,bnz84ip76a3r26n
