gene_symbol,Casq1
parameter_id,JAXLA_OFD_020_001
pvalue,0.2502088
analysis_id,rlu0h009g4y12o0
gene_accession_id,MGI:1309468
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
