analysis_id,yg0vx9d275sbw2j
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
parameter_name,Lean mass
pvalue,0.9252515
gene_symbol,AU040320
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
