analysis_id,sn3ppyfdfm1ve99
gene_symbol,Lurap1
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
parameter_name,Basophil differential count
gene_accession_id,MGI:1915325
pvalue,0.3177368
