parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
gene_accession_id,MGI:1927232
parameter_name,Edema
pvalue,0.4844381
mouse_life_stage,Early adult
gene_symbol,Rab13
analysis_id,ot62l6j1o8mw267
