analysis_id,8w6x768fvuyn5mj
pvalue,0.4463128
gene_accession_id,MGI:109128
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_symbol,Hnf4a
