parameter_id,JAX_URI_002_001
gene_symbol,Slc2a8
parameter_name,Creatinine
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1860103
pvalue,0.687168
analysis_id,9713mau320325k8
