parameter_name,Head morphology
mouse_strain,C57BL
analysis_id,99114i32fn2ige5
parameter_id,MGP_CSD_064_001
mouse_life_stage,E9.5
pvalue,0.1722379
gene_symbol,Orc2
gene_accession_id,MGI:1328306
