analysis_id,z03a11o7l93i253
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.9261915
mouse_strain,C57BL
gene_accession_id,MGI:108072
gene_symbol,Traf6
