parameter_id,M-G-P_012_001_005
pvalue,0.07501301
parameter_name,Body Weight
mouse_strain,C57BL
mouse_life_stage,E18.5
analysis_id,x1m775e8z3fedqi
gene_symbol,Ola1
gene_accession_id,MGI:1914309
