gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
pvalue,0.4632305
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
analysis_id,0b80b2d83jbxjjn
