gene_symbol,Trp53rkb
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_name,Latency to center entry
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
analysis_id,731h9dt898xb68a
pvalue,0.6708042
