gene_symbol,Sdcbp2
parameter_name,Lean mass
analysis_id,9v1jr3b2pbo64u3
pvalue,0.5159849
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
