gene_symbol,Bach2
mouse_strain,C57BL
analysis_id,10zd6704ida3d9z
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
pvalue,3.444878e-09
gene_accession_id,MGI:894679
