parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
gene_symbol,Sdcbp2
analysis_id,17ldm30lhkc0jn6
pvalue,0.0560044
mouse_life_stage,Early adult
