gene_symbol,Duoxa2
pvalue,9.909134e-20
gene_accession_id,MGI:1914061
parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
analysis_id,uu98045ji0x8ca5
parameter_name,Shape of vertebrae
mouse_strain,C57BL
