analysis_id,3998p8f2w0mm41e
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
pvalue,0.552032
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
